Operateur,x,y,2G,3G,4G
Bouygues,176344,6834515,1,1,0
Free,176371,6834512,0,1,1
Orange,176386,6793207,0,1,0
SFR,176528,6783389,1,1,1
Orange,176535,6783382,1,1,0
Bouygues,176539,6783398,1,1,1
Bouygues,176659,6774723,1,1,1
Free,176659,6774723,0,1,1
Orange,176661,6774728,1,1,1
SFR,176673,6774689,1,1,1
Bouygues,176694,6788187,1,0,0
Orange,176728,6799981,1,1,0
Orange,177015,6787721,1,1,0
Free,177170,6806954,0,1,1
Bouygues,177349,6790966,1,1,1
Free,177349,6790987,0,1,1
SFR,177352,6790969,1,1,1
Bouygues,177454,6847542,1,0,0
Orange,177461,6864611,1,1,1
Free,177547,6864630,0,1,1
Orange,177552,6776963,0,1,0
SFR,177560,6864646,1,1,1
Bouygues,177562,6864642,1,1,1
Bouygues,177676,6847597,1,1,1
SFR,177676,6847597,1,1,1
Orange,177738,6845946,0,1,0
Bouygues,177748,6800836,1,1,1
SFR,177748,6800836,1,1,1
Free,177786,6800855,0,1,1
Bouygues,178036,6806900,1,1,1
SFR,178036,6806900,1,1,1
Bouygues,178149,6837179,1,1,1
SFR,178149,6837179,1,1,1
Orange,178230,6774231,0,1,1
SFR,178445,6788001,1,1,1
Bouygues,178513,6787909,1,1,1
Orange,178524,6846354,1,1,1
Bouygues,178533,6786620,1,1,1
SFR,178543,6786615,1,1,1
Free,178553,6786600,0,1,1
Orange,178714,6848273,1,1,0
SFR,178730,6779796,1,1,1
Bouygues,178735,6779796,1,1,1
Orange,178836,6844693,1,1,0
SFR,178866,6844706,1,1,1
Bouygues,178874,6844708,1,1,1
Bouygues,179013,6799476,1,1,1
SFR,179013,6799476,1,1,1
Orange,179244,6782707,1,1,0
Orange,179410,6847101,0,1,1
Bouygues,179474,6862862,1,1,1
SFR,179474,6862862,1,1,1
Orange,179546,6792417,1,1,0
Bouygues,179688,6852167,1,1,1
SFR,179693,6852159,1,1,1
Free,179869,6847289,0,1,1
Bouygues,180320,6800646,1,0,0
SFR,180678,6854030,1,1,1
Bouygues,180679,6854037,1,1,1
Orange,180691,6854043,1,1,1
Orange,180983,6779869,1,1,1
Orange,181230,6801938,1,1,1
Bouygues,181437,6828138,1,1,0
SFR,181437,6828138,1,1,0
Free,181438,6828139,0,1,0
Orange,181439,6828143,1,1,0
SFR,181468,6845625,1,1,1
Bouygues,181495,6845657,1,1,1
Orange,182228,6785305,1,1,0
